Text,TrainingData
give me colleges with cse,"('give me colleges with cse', {'entities': [(22, 25, 'COURSE')]})"
which colleges offer both CSE and ECE courses,"('which colleges offer both CSE and ECE courses', {'entities': [(26, 29, 'COURSE'), (34, 37, 'COURSE')]})"
give me collge in andra pradesh,"('give me collge in andra pradesh', {'entities': []})"
give me collge in arunachal pradesh,"('give me collge in arunachal pradesh', {'entities': [(18, 35, 'STATE')]})"
give me collge in assam,"('give me collge in assam', {'entities': [(18, 23, 'STATE')]})"
give me collge in bihar,"('give me collge in bihar', {'entities': [(18, 23, 'STATE')]})"
give me collge in chattisgarh,"('give me collge in chattisgarh', {'entities': []})"
give me collge in goa,"('give me collge in goa', {'entities': [(18, 21, 'STATE')]})"
give me collge in gujarat,"('give me collge in gujarat', {'entities': [(18, 25, 'STATE')]})"
give me collge in haryana,"('give me collge in haryana', {'entities': [(18, 25, 'STATE')]})"
give me collge in himachal pradesh,"('give me collge in himachal pradesh', {'entities': [(18, 34, 'STATE')]})"
give me collge in jharkhand,"('give me collge in jharkhand', {'entities': [(18, 27, 'STATE')]})"
give me collge in karnataka,"('give me collge in karnataka', {'entities': [(18, 27, 'STATE')]})"
give me collge in kerala,"('give me collge in kerala', {'entities': [(18, 24, 'STATE')]})"
give me collge in madhya pradesh,"('give me collge in madhya pradesh', {'entities': [(18, 32, 'STATE')]})"
give me collge in maharashtra,"('give me collge in maharashtra', {'entities': [(18, 29, 'STATE')]})"
give me collge in manipur,"('give me collge in manipur', {'entities': [(18, 25, 'STATE')]})"
give me collge in meghalaya,"('give me collge in meghalaya', {'entities': [(18, 27, 'STATE')]})"
give me collge in mizoram,"('give me collge in mizoram', {'entities': [(18, 25, 'STATE')]})"
give me collge in nagaland,"('give me collge in nagaland', {'entities': [(18, 26, 'STATE')]})"
give me collge in odisha,"('give me collge in odisha', {'entities': [(18, 24, 'STATE')]})"
give me collge in punjab,"('give me collge in punjab', {'entities': [(18, 24, 'STATE')]})"
give me collge in rajasthan,"('give me collge in rajasthan', {'entities': [(18, 27, 'STATE')]})"
give me collge in sikkim,"('give me collge in sikkim', {'entities': [(18, 24, 'STATE')]})"
give me collge in tamil nadu,"('give me collge in tamil nadu', {'entities': [(18, 28, 'STATE')]})"
give me collge in telangana,"('give me collge in telangana', {'entities': [(18, 27, 'STATE')]})"
give me collge in tripura,"('give me collge in tripura', {'entities': [(18, 25, 'STATE')]})"
give me collge in uttar pradesh,"('give me collge in uttar pradesh', {'entities': [(18, 31, 'STATE')]})"
give me collge in uttarakhand,"('give me collge in uttarakhand', {'entities': [(18, 29, 'STATE')]})"
